id,name,difficulty,movement_pattern,target_muscles
1450,muscle up,5,pull_vertical,lats
1451,chest stretch with exercise ball,1,isolation_upper,pectorals
1452,sled calf press on leg press,1,isolation_lower,calves
1453,lever standing calf raise,1,isolation_lower,calves
1454,cable standing calf raise,2,isolation_lower,calves
1455,assisted lying glutes stretch,1,hinge,glutes
1457,dumbbell goblet squat,3,squat,quads
1458,cable seated shoulder internal rotation,3,push_vertical,delts
1460,barbell standing twist,3,core,abs
1461,barbell reverse close-grip bench press,3,push_horizontal,triceps
1462,full maltese,5,core,abs
1463,barbell reverse grip skullcrusher,3,full_body,triceps
1464,shoulder tap,2,core,abs
1465,exercise ball seated hamstring stretch,1,hinge,hamstrings
1466,dumbbell seated front raise,2,isolation_upper,delts
1467,twisted leg raise (female),2,core,abs
74,barbell seated close-grip concentration curl,2,isolation_upper,biceps
76,cable high pulley overhead tricep extension,2,isolation_upper,triceps
69,dumbbell decline hammer press,3,push_horizontal,pectorals
70,dumbbell iron cross - improved variation,5,push_vertical,delts
71,dumbbell one arm shoulder press v. 2,3,push_vertical,delts
77,incline close-grip push-up,2,push_horizontal,triceps
107,dumbbell front raise,2,isolation_upper,delts
37,one leg floor calf raise,2,isolation_lower,calves
67,cable incline pushdown,2,isolation_upper,lats
29,upward facing dog,2,full_body,spine
30,assisted hanging knee raise,2,core,abs
31,impossible dips,2,full_body,triceps
32,push-up inside leg kick,2,hinge,glutes
33,cable cross-over variation,3,push_horizontal,pectorals
34,barbell seated bradford rocky press,3,push_vertical,delts
58,jack jump (male),2,plyometric,cardiovascular system
59,barbell jump squat,3,plyometric,glutes
60,janda sit-up,2,core,abs
65,calf stretch with rope,1,full_body,calves
61,push-up on lower arms - resistance variation,2,push_horizontal,triceps
62,prone twist on stability ball,3,core,abs
63,standing lateral stretch,1,pull_vertical,lats
66,core barbell upright row v. 2,3,pull_horizontal,delts
39,roller hip lat stretch,1,hinge,glutes
35,band underhand pulldown with classic,3,pull_vertical,lats
40,weighted sissy squat,3,squat,quads
41,runners stretch,1,hinge,hamstrings
46,resistance band seated hip abduction,3,core,abductors
42,gentle style cable pulldown (pro lat bar),3,pull_vertical,lats
43,inverse leg curl (on pull-up cable machine),2,hinge,hamstrings
47,bear crawl,2,full_body,cardiovascular system
49,isometric wipers,2,push_horizontal,pectorals
50,raise single arm push-up,2,push_horizontal,pectorals
51,weighted stretch lunge,1,lunge,glutes
52,seated calf stretch (male),1,isolation_lower,calves
53,lever lying leg curl,2,hinge,hamstrings
54,hip raise (bent knee),2,core,abs
55,smith bent knee good morning,4,hinge,glutes
56,ez bar standing french press,3,full_body,triceps
57,smith upright row,3,pull_horizontal,delts
79,air bike,2,core,abs
80,band kneeling twisting crunch,2,core,abs
81,barbell curl,2,isolation_upper,biceps
82,cable incline fly (on stability ball),2,isolation_upper,pectorals
83,dumbbell seated palms up wrist curl,2,isolation_upper,forearms
84,rocking frog stretch,1,hinge,glutes
85,barbell one arm side deadlift,4,hinge,glutes
86,3/4 sit-up,2,core,abs
89,dumbbell kneeling bicep curl exercise ball,2,isolation_upper,biceps
90,spine twist,2,core,abs
91,ez barbell spider curl,2,isolation_upper,biceps
92,lever one arm shoulder press,3,push_vertical,delts
93,push-up (bosu ball),2,push_horizontal,pectorals
94,exercise ball hip flexor stretch,1,hinge,glutes
95,dumbbell bicep curl on exercise ball with leg raised,2,core,biceps
106,dumbbell bench seated press,3,push_vertical,delts
97,hack calf raise,2,isolation_lower,calves
98,cable decline press,3,push_horizontal,pectorals
99,sled 45° leg press (side pov),3,squat,glutes
100,barbell standing back wrist curl,2,isolation_upper,forearms
101,assisted prone rectus femoris stretch,1,core,abs
102,dumbbell one arm standing hammer curl,2,isolation_upper,biceps
103,advanced dumbbell stiff leg deadlift,4,hinge,glutes
104,wrist circles,2,full_body,forearms
105,barbell front raise and pullover,2,isolation_upper,pectorals
109,band alternating biceps curl,2,isolation_upper,biceps
110,band alternating v-up with simple,3,core,abs
112,dumbbell standing biceps curl,2,isolation_upper,biceps
113,dumbbell standing bent over two arm triceps extension,2,isolation_upper,triceps
114,dumbbell over bench revers wrist curl,2,isolation_upper,forearms
115,barbell incline bench press,3,push_horizontal,pectorals
116,dynamic chest stretch (male),1,push_horizontal,pectorals
126,superman push-up,2,push_horizontal,pectorals
118,bodyweight squatting row,2,squat,upper back
119,cable pushdown,2,isolation_upper,triceps
120,cable lateral pulldown with v-bar,3,pull_vertical,lats
121,barbell seated close grip behind neck triceps extension,2,isolation_upper,triceps
122,narrow push-up on exercise ball,2,push_horizontal,triceps
123,dumbbell one arm hammer preacher curl,2,isolation_upper,biceps
125,cable standing row (v-bar),3,pull_horizontal,upper back
156,dumbbell scott press,3,push_vertical,delts
128,cable rope one arm hammer preacher curl,2,isolation_upper,biceps
129,dumbbell seated bent over triceps extension,2,isolation_upper,triceps
130,alternate lateral pulldown,3,pull_vertical,lats
131,dumbbell over bench one arm reverse wrist curl,2,isolation_upper,forearms
132,push-up on lower arms,2,push_horizontal,triceps
133,kettlebell bottoms up clean from the hang position,3,full_body,biceps
134,barbell skier,3,push_vertical,delts
135,barbell reverse preacher curl,2,isolation_upper,biceps
137,hanging straight leg raise,2,core,abs
138,suspended row,2,pull_horizontal,upper back
139,gentle prone twist on stability ball,3,core,abs
140,lever pullover,3,pull_vertical,lats
141,resistance band seated chest press,3,push_horizontal,pectorals
142,biceps narrow pull-ups,4,pull_vertical,biceps
143,dumbbell lying rear lateral raise,2,isolation_upper,delts
144,narrow style band jack knife sit-up,2,core,abs
145,kettlebell pistol squat,5,squat,glutes
147,dumbbell stiff leg deadlift,4,hinge,glutes
148,dumbbell seated reverse grip one arm overhead tricep extension,2,isolation_upper,triceps
150,kettlebell alternating press,3,push_vertical,delts
151,smith bent over row with declined,3,pull_horizontal,upper back
152,ski step,2,full_body,cardiovascular system
153,barbell seated overhead triceps extension,2,isolation_upper,triceps
154,smith incline bench press,3,push_horizontal,pectorals
155,barbell hack squat,3,squat,glutes
158,weighted lunge with swing,3,lunge,glutes
159,cable lying close-grip curl,2,isolation_upper,biceps
160,barbell rear lunge v. 2,3,lunge,glutes
161,barbell incline reverse-grip press,3,full_body,triceps
162,lever shoulder press,3,push_vertical,delts
163,weighted side bend (on stability ball),3,core,abs
164,dumbbell one arm upright row,3,pull_horizontal,delts
165,ez bar lying close grip triceps extension behind head,2,isolation_upper,triceps
168,semi squat jump (male),2,plyometric,cardiovascular system
169,barbell standing rocking leg calf raise,2,isolation_lower,calves
170,standing calf raise (on a staircase),2,isolation_lower,calves
171,barbell wrist curl v. 2,2,isolation_upper,forearms
173,dumbbell lying single extension,2,isolation_upper,triceps
175,dumbbell reverse spider curl,2,isolation_upper,biceps
176,bent knee lying twist (male),2,hinge,glutes
178,ez barbell curl,2,isolation_upper,biceps
179,hanging straight leg raise with elevated,2,core,abs
180,rounded twisted leg raise (female),2,core,abs
181,quads,2,squat,quads
182,sit-up with arms on chest,2,core,abs
183,archer pull up,4,pull_vertical,lats
184,potty squat,2,squat,abs
222,dumbbell one arm shoulder press,3,push_vertical,delts
187,smith incline reverse-grip press,3,push_horizontal,pectorals
188,dumbbell hammer curl with traditional,2,isolation_upper,biceps
189,dumbbell over bench one arm wrist curl - strength variation,2,isolation_upper,forearms
190,medicine ball chest push multiple response,3,push_horizontal,pectorals
191,triceps dips floor,2,full_body,triceps
192,lever calf press,3,full_body,calves
193,kettlebell two arm clean,3,full_body,delts
194,dumbbell seated preacher curl,2,isolation_upper,biceps
196,exercise ball seated triceps stretch,1,full_body,triceps
198,dumbbell seated one arm rotate,3,full_body,forearms
199,dumbbell lying hammer press,3,push_horizontal,pectorals
200,assisted standing triceps extension (with towel),2,isolation_upper,triceps
201,dumbbell clean,3,hinge,glutes
202,cocoons with mega,2,core,abs
203,lever seated row,3,pull_horizontal,upper back
232,rough band hip lift,3,hinge,glutes
205,dumbbell close grip press,3,full_body,triceps
206,barbell rollerout,3,core,abs
207,assisted standing chin-up,4,pull_vertical,lats
208,assisted standing triceps extension (with towel) with horizontal,2,isolation_upper,triceps
209,dumbbell lying pronation on floor,3,full_body,forearms
210,cable decline fly,2,isolation_upper,pectorals
